"ProductID","Date","StockOnHand","DeliveredQuantity","SalesQuantity","WasteQuantity"
"1774","6/2/2022","5","0","3","0"
"1782","6/2/2022","34","9","22","9"
"1795","6/2/2022","34","14","19","0"
"1914","6/2/2022","5","0","0","0"
"1915","6/2/2022","6","0","0","0"
"1923","6/2/2022","11","0","0","0"
"1934","6/2/2022","7","0","2","0"
"1963","6/2/2022","18","8","11","0"
"1984","6/2/2022","8","6","0","0"
"2135","6/2/2022","10","0","1","0"
"2136","6/2/2022","7","0","0","0"
"2148","6/2/2022","2","0","1","0"
"2183","6/2/2022","8","6","4","0"
"2193","6/2/2022","26","15","15","6"
"2237","6/2/2022","6","0","2","0"
"2358","6/2/2022","18","0","3","0"
"2361","6/2/2022","14","0","5","0"
"2445","6/2/2022","16","0","4","0"
"2449","6/2/2022","10","8","10","0"
"2451","6/2/2022","2","10","1","0"
"2475","6/2/2022","11","0","0","0"
"2476","6/2/2022","6","0","1","0"
"2507","6/2/2022","21","0","14","0"
"2525","6/2/2022","6","0","0","0"
"2562","6/2/2022","30","0","11","0"
"2582","6/2/2022","5","0","0","0"
"2586","6/2/2022","32","20","27","1"
"2631","6/2/2022","6","6","0","0"
"2685","6/2/2022","11","4","6","0"
"2723","6/2/2022","10","0","1","0"
"2730","6/2/2022","8","0","1","0"
"2731","6/2/2022","13","0","1","0"
"2732","6/2/2022","7","0","1","0"
"2734","6/2/2022","9","4","4","0"
"2735","6/2/2022","13","0","1","0"
"2761","6/2/2022","30","20","22","1"
"2788","6/2/2022","20","16","12","1"
"2812","6/2/2022","5","0","0","0"
"2813","6/2/2022","8","0","0","0"
"2814","6/2/2022","5","0","0","0"
"2913","6/2/2022","6","0","0","0"
"2914","6/2/2022","4","0","1","0"
"3015","6/2/2022","7","0","0","0"
"3033","6/2/2022","8","0","0","0"
"3035","6/2/2022","6","0","0","0"
"4446","6/2/2022","19","9","9","8"
"12136","6/2/2022","25","21","20","2"
"12516","6/2/2022","6","0","4","0"
"12518","6/2/2022","11","0","5","0"
"12523","6/2/2022","10","0","3","0"
"16062","6/2/2022","7","0","0","0"
"16063","6/2/2022","11","0","1","0"
"19322","6/2/2022","8","0","0","0"
"19329","6/2/2022","10","0","2","0"
"19516","6/2/2022","6","0","2","0"
"19520","6/2/2022","8","0","0","0"
"75","6/3/2022","11","12","10","0"
"76","6/3/2022","46","32","34","0"
"99","6/3/2022","5","0","0","0"
"117","6/3/2022","6","4","3","0"
"118","6/3/2022","8","0","3","0"
"119","6/3/2022","5","4","2","0"
"120","6/3/2022","3","0","1","0"
"149","6/3/2022","9","0","0","0"
"184","6/3/2022","20","9","15","7"
"195","6/3/2022","40","30","28","0"
"218","6/3/2022","28","30","28","0"
"296","6/3/2022","12","6","4","0"
"300","6/3/2022","10","0","5","1"
"304","6/3/2022","15","6","3","0"
"317","6/3/2022","24","16","11","0"
"343","6/3/2022","8","4","1","0"
"353","6/3/2022","4","0","1","0"
"373","6/3/2022","0","0","0","0"
"374","6/3/2022","11","4","4","0"
"388","6/3/2022","26","24","27","0"
"419","6/3/2022","8","8","8","0"
"420","6/3/2022","12","8","7","0"
"462","6/3/2022","16","8","7","0"
"519","6/3/2022","25","12","12","0"
"525","6/3/2022","6","0","3","0"
"596","6/3/2022","13","4","3","0"
"597","6/3/2022","31","24","17","1"
"598","6/3/2022","8","6","2","0"
"1035","6/3/2022","25","12","7","0"
"1084","6/3/2022","20","10","11","0"
"1111","6/3/2022","12","0","1","0"
"1112","6/3/2022","7","0","0","0"
"1113","6/3/2022","11","0","0","0"
"1114","6/3/2022","10","0","0","0"
"1115","6/3/2022","7","0","1","0"
"1117","6/3/2022","8","0","0","0"
"1118","6/3/2022","10","0","3","0"
"1119","6/3/2022","7","0","1","0"
"1692","6/3/2022","4","0","0","0"
"1693","6/3/2022","23","0","0","0"
"1747","6/3/2022","25","20","24","0"
"1772","6/3/2022","6","0","0","0"
"1773","6/3/2022","10","0","1","0"
"1774","6/3/2022","2","0","0","0"
"1782","6/3/2022","18","15","15","2"
"1795","6/3/2022","36","21","7","0"
"1914","6/3/2022","5","0","0","0"
"1915","6/3/2022","6","0","0","0"
"1923","6/3/2022","11","0","4","0"
"1934","6/3/2022","11","6","2","0"
"1963","6/3/2022","15","8","9","0"
"1984","6/3/2022","14","6","4","0"
"2135","6/3/2022","9","0","1","0"
"2136","6/3/2022","7","0","0","0"
"2148","6/3/2022","5","4","2","0"
"2183","6/3/2022","16","12","5","0"
"2193","6/3/2022","23","18","7","7"
"2237","6/3/2022","4","0","0","0"
"2358","6/3/2022","15","0","3","0"
"2361","6/3/2022","16","7","7","0"
"2445","6/3/2022","18","6","3","5"
"2449","6/3/2022","16","16","11","0"
"2451","6/3/2022","6","5","7","0"
"2475","6/3/2022","11","0","0","0"
"2476","6/3/2022","5","0","4","0"
"2507","6/3/2022","20","12","9","0"
"2525","6/3/2022","6","0","3","0"
"2562","6/3/2022","27","8","14","0"
"2582","6/3/2022","9","4","1","0"
"2586","6/3/2022","20","16","17","0"
"2631","6/3/2022","12","6","2","0"
"2685","6/3/2022","13","8","10","3"
"2723","6/3/2022","9","0","0","0"
"2730","6/3/2022","7","0","2","0"
"2731","6/3/2022","12","0","3","0"
"2732","6/3/2022","6","0","3","0"
"2734","6/3/2022","9","4","2","0"
"2735","6/3/2022","12","0","1","0"
"2761","6/3/2022","22","15","21","0"
"2788","6/3/2022","26","20","24","0"
"2812","6/3/2022","5","0","1","0"
"2813","6/3/2022","8","0","2","0"
"2814","6/3/2022","11","6","1","0"
"2913","6/3/2022","12","6","4","0"
"2914","6/3/2022","3","0","1","0"
"3015","6/3/2022","7","0","3","0"
"3033","6/3/2022","8","0","0","0"
"3035","6/3/2022","6","0","1","0"
"4446","6/3/2022","17","15","8","0"
"12136","6/3/2022","27","24","25","0"
"12516","6/3/2022","6","4","0","0"
"12518","6/3/2022","16","10","4","0"
"12523","6/3/2022","7","0","2","0"
"16062","6/3/2022","7","0","0","0"
"16063","6/3/2022","10","0","4","0"
"19322","6/3/2022","8","0","0","0"
"19329","6/3/2022","8","0","1","0"
"19516","6/3/2022","12","8","5","0"
"19520","6/3/2022","8","0","1","0"
"75","6/4/2022","25","24","22","0"
"76","6/4/2022","40","28","25","0"
"99","6/4/2022","5","0","0","0"
"117","6/4/2022","3","0","2","0"
"118","6/4/2022","9","4","3","0"
"119","6/4/2022","3","0","1","0"
"120","6/4/2022","2","0","1","0"
"149","6/4/2022","9","0","1","0"
"184","6/4/2022","10","12","12","0"
"195","6/4/2022","33","21","23","1"
"218","6/4/2022","18","18","19","0"
"296","6/4/2022","14","6","10","0"
"300","6/4/2022","12","8","5","0"
"304","6/4/2022","12","0","5","0"
"317","6/4/2022","28","16","8","0"
"343","6/4/2022","7","0","1","0"
"353","6/4/2022","3","0","0","0"
"373","6/4/2022","16","16","8","0"
"374","6/4/2022","11","4","1","0"
"388","6/4/2022","-16","9","6","0"
"419","6/4/2022","16","16","7","0"
"420","6/4/2022","21","16","8","0"
"462","6/4/2022","17","8","4","0"
"519","6/4/2022","19","6","8","0"
"525","6/4/2022","3","0","1","0"
"596","6/4/2022","10","0","3","0"
"597","6/4/2022","13","0","11","0"
"598","6/4/2022","6","0","2","0"
"1035","6/4/2022","18","0","7","0"
"1084","6/4/2022","9","0","7","0"
"1111","6/4/2022","11","0","0","0"
"1112","6/4/2022","7","0","0","0"
"1113","6/4/2022","11","0","0","0"
"1114","6/4/2022","10","0","5","0"
"1115","6/4/2022","6","0","2","0"
"1117","6/4/2022","8","0","0","0"
"1118","6/4/2022","7","0","0","0"
"1119","6/4/2022","6","0","0","0"
"1692","6/4/2022","12","8","5","0"
"1693","6/4/2022","23","0","0","0"
"1747","6/4/2022","21","20","20","0"
"1772","6/4/2022","6","0","0","0"
"1773","6/4/2022","9","0","3","0"
"1774","6/4/2022","2","0","0","0"
"1782","6/4/2022","4","18","17","0"
"1795","6/4/2022","57","28","24","1"
"1914","6/4/2022","5","0","0","0"
"1915","6/4/2022","6","0","0","0"
"1923","6/4/2022","7","0","1","0"
"1934","6/4/2022","9","0","4","2"
"1963","6/4/2022","22","16","16","0"
"1984","6/4/2022","10","0","4","0"
"2135","6/4/2022","8","0","1","0"
"2136","6/4/2022","7","0","0","0"
"2148","6/4/2022","7","4","3","0"
"2183","6/4/2022","17","6","3","0"
"2193","6/4/2022","9","0","5","3"
"2237","6/4/2022","4","0","3","0"
"2358","6/4/2022","12","0","5","0"
"2361","6/4/2022","9","0","3","0"
"2445","6/4/2022","16","6","6","0"
"2449","6/4/2022","21","16","6","0"
"2451","6/4/2022","4","5","4","0"
"2475","6/4/2022","11","0","1","0"
"2476","6/4/2022","1","0","0","0"
"2507","6/4/2022","10","0","8","0"
"2525","6/4/2022","3","0","1","0"
"2562","6/4/2022","21","8","4","0"
"2582","6/4/2022","12","4","2","0"
"2586","6/4/2022","11","8","8","0"
"2631","6/4/2022","16","6","1","0"
"2685","6/4/2022","0","0","2","0"
"2723","6/4/2022","9","0","0","0"
"2730","6/4/2022","5","0","2","0"
"2731","6/4/2022","9","0","2","0"
"2732","6/4/2022","3","0","1","0"
"2734","6/4/2022","7","0","2","0"
"2735","6/4/2022","11","0","3","0"
"2761","6/4/2022","11","10","12","0"
"2788","6/4/2022","13","12","14","1"
"2812","6/4/2022","4","0","0","0"
"2813","6/4/2022","6","0","0","0"
"2814","6/4/2022","10","0","0","0"
"2913","6/4/2022","8","0","2","0"
"2914","6/4/2022","2","0","0","0"
"3015","6/4/2022","4","0","1","0"
"3033","6/4/2022","8","0","0","0"
"3035","6/4/2022","5","0","0","0"
"4446","6/4/2022","21","12","17","1"
"12136","6/4/2022","17","15","15","0"
"12516","6/4/2022","6","0","1","0"
"12518","6/4/2022","12","0","0","0"
"12523","6/4/2022","9","4","3","0"
"16062","6/4/2022","7","0","1","0"
"16063","6/4/2022","6","0","1","0"
"19322","6/4/2022","8","0","1","0"
"19329","6/4/2022","7","0","0","0"
"19516","6/4/2022","23","16","7","0"
"19520","6/4/2022","7","0","2","0"
"75","6/5/2022","35","32","25","0"
"76","6/5/2022","39","24","22","3"
"99","6/5/2022","5","0","0","0"
"117","6/5/2022","1","0","0","0"
"118","6/5/2022","6","0","2","1"
"119","6/5/2022","6","4","2","0"
"120","6/5/2022","5","4","0","1"
"149","6/5/2022","8","0","1","0"
"184","6/5/2022","1","3","3","0"
"195","6/5/2022","30","21","18","0"
"218","6/5/2022","17","18","11","0"
"296","6/5/2022","10","6","4","0"
"300","6/5/2022","7","0","2","0"
"304","6/5/2022","7","0","4","0"
"317","6/5/2022","36","16","14","0"
"343","6/5/2022","6","0","1","0"
"353","6/5/2022","3","0","0","0"
"373","6/5/2022","16","8","7","0"
"374","6/5/2022","14","4","5","0"
"388","6/5/2022","-10","12","12","0"
"419","6/5/2022","25","16","7","0"
"420","6/5/2022","21","8","8","0"
"462","6/5/2022","13","0","10","2"
"519","6/5/2022","17","6","6","0"
"525","6/5/2022","2","0","1","0"
"596","6/5/2022","7","0","1","0"
"597","6/5/2022","2","0","4","0"
"598","6/5/2022","4","0","1","1"
"1035","6/5/2022","17","6","5","0"
"1084","6/5/2022","12","10","7","0"
"1111","6/5/2022","11","0","0","0"
"1113","6/5/2022","11","0","1","1"
"1114","6/5/2022","5","0","0","0"
"1115","6/5/2022","10","6","3","0"
"1117","6/5/2022","8","0","0","0"
"1118","6/5/2022","7","0","0","0"
"1119","6/5/2022","6","0","2","0"
"1692","6/5/2022","15","8","4","0"
"1693","6/5/2022","23","0","0","0"
"1747","6/5/2022","6","5","4","0"
"1772","6/5/2022","6","0","0","0"
"1773","6/5/2022","6","0","0","0"
"1774","6/5/2022","2","0","0","0"
"1782","6/5/2022","-1","12","10","0"
"1795","6/5/2022","32","0","11","0"
"1914","6/5/2022","5","0","0","0"
"1915","6/5/2022","6","0","1","0"
"1923","6/5/2022","6","0","3","0"
"1934","6/5/2022","9","6","3","1"
"1963","6/5/2022","30","24","14","1"
"1984","6/5/2022","12","6","1","0"
"2135","6/5/2022","7","0","2","0"
"2136","6/5/2022","7","0","1","0"
"2148","6/5/2022","12","8","1","0"
"2183","6/5/2022","20","6","5","0"
"2193","6/5/2022","13","12","4","0"
"2237","6/5/2022","7","6","3","0"
"2358","6/5/2022","15","8","0","7"
"2361","6/5/2022","6","0","1","1"
"2445","6/5/2022","16","6","2","0"
"2449","6/5/2022","23","8","8","0"
"2451","6/5/2022","15","15","4","0"
"2475","6/5/2022","10","0","0","0"
"2476","6/5/2022","1","0","0","0"
"2507","6/5/2022","8","6","6","0"
"2525","6/5/2022","2","0","2","0"
"2562","6/5/2022","25","8","7","0"
"2582","6/5/2022","10","0","1","0"
"2586","6/5/2022","11","8","11","0"
"2631","6/5/2022","21","6","1","0"
"2685","6/5/2022","2","4","2","0"
"2723","6/5/2022","9","0","1","0"
"2730","6/5/2022","3","0","6","0"
"2731","6/5/2022","7","0","2","0"
"2732","6/5/2022","2","0","0","0"
"2734","6/5/2022","5","0","0","0"
"2735","6/5/2022","8","0","2","0"
"2761","6/5/2022","9","10","10","0"
"2788","6/5/2022","11","12","12","1"
"2812","6/5/2022","4","0","1","0"
"2813","6/5/2022","6","0","1","0"
"2814","6/5/2022","10","0","1","0"
"2913","6/5/2022","12","6","1","2"
"2914","6/5/2022","8","6","1","0"
"3015","6/5/2022","3","0","1","0"
"3033","6/5/2022","8","0","2","0"
"3035","6/5/2022","5","0","0","0"
"4446","6/5/2022","9","6","6","2"
"12136","6/5/2022","17","15","14","0"
"12516","6/5/2022","9","4","1","0"
"12518","6/5/2022","12","0","0","0"
"12523","6/5/2022","14","8","3","0"
"16062","6/5/2022","6","0","0","0"
"16063","6/5/2022","5","0","2","0"
"19322","6/5/2022","7","0","0","0"
"19329","6/5/2022","7","0","0","0"
"19516","6/5/2022","32","16","8","0"
"19520","6/5/2022","5","0","0","0"
"75","6/6/2022","50","40","28","1"
"76","6/6/2022","58","44","36","0"
"99","6/6/2022","5","0","0","0"
"117","6/6/2022","5","4","0","0"
"118","6/6/2022","3","0","1","1"
"119","6/6/2022","4","0","2","0"
"120","6/6/2022","4","0","4","0"
"149","6/6/2022","7","0","1","0"
"184","6/6/2022","10","12","5","0"
"195","6/6/2022","36","24","25","0"
"218","6/6/2022","27","21","20","0"
"296","6/6/2022","6","0","3","0"
"300","6/6/2022","5","0","4","0"
"304","6/6/2022","9","6","4","0"
"317","6/6/2022","38","16","10","0"
"343","6/6/2022","9","4","1","0"
"353","6/6/2022","9","6","0","0"
"373","6/6/2022","17","8","7","0"
"374","6/6/2022","9","0","3","0"
"388","6/6/2022","-4","18","11","0"
"419","6/6/2022","34","16","14","1"
"420","6/6/2022","21","8","9","0"
"462","6/6/2022","9","8","11","0"
"519","6/6/2022","17","6","1","0"
"525","6/6/2022","6","5","1","0"
"596","6/6/2022","10","4","4","0"
"597","6/6/2022","10","12","7","0"
"598","6/6/2022","8","6","2","0"
"1035","6/6/2022","12","0","4","2"
"1084","6/6/2022","10","5","7","0"
"1111","6/6/2022","11","0","0","0"
"1113","6/6/2022","9","0","1","0"
"1114","6/6/2022","5","0","0","0"
"1115","6/6/2022","7","0","1","0"
"1117","6/6/2022","8","0","0","0"
"1118","6/6/2022","13","6","1","0"
"1119","6/6/2022","4","0","0","0"
"1692","6/6/2022","19","8","7","0"
"1693","6/6/2022","23","0","0","0"
"1747","6/6/2022","22","20","13","0"
"1772","6/6/2022","6","0","1","0"
"1773","6/6/2022","6","0","1","0"
"1774","6/6/2022","10","8","0","0"
"1782","6/6/2022","13","24","18","0"
"1795","6/6/2022","21","0","12","0"
"1915","6/6/2022","11","6","1","0"
"1923","6/6/2022","9","6","1","0"
"1934","6/6/2022","5","0","2","0"
"1963","6/6/2022","31","16","8","0"
"1984","6/6/2022","11","0","2","0"
"2135","6/6/2022","11","6","1","0"
"2136","6/6/2022","6","0","1","0"
"2148","6/6/2022","11","0","1","0"
"2183","6/6/2022","15","0","3","6"
"2193","6/6/2022","24","15","15","6"
"2237","6/6/2022","4","0","2","0"
"2358","6/6/2022","8","0","5","0"
"2361","6/6/2022","11","7","0","0"
"2445","6/6/2022","14","0","4","0"
"2449","6/6/2022","23","8","10","0"
"2451","6/6/2022","11","0","6","0"
"2475","6/6/2022","10","0","0","0"
"2476","6/6/2022","7","6","1","0"
"2507","6/6/2022","14","12","8","0"
"2525","6/6/2022","6","6","0","0"
"2562","6/6/2022","26","8","8","9"
"2582","6/6/2022","9","0","1","0"
"2586","6/6/2022","16","16","11","0"
"2631","6/6/2022","26","6","0","4"
"2685","6/6/2022","4","4","4","0"
"2723","6/6/2022","8","0","0","0"
