ProductID,Date,StockOnHand,DeliveredQuantity,SalesQuantity,WasteQuantity,Recommended stock Quantity
1774,2022/06/02,5,0,3,0,8
1782,2022/06/02,34,9,22,9,56
1795,2022/06/02,34,14,19,0,53
1914,2022/06/02,5,0,0,0,5
1915,2022/06/02,6,0,0,0,6
1923,2022/06/02,11,0,0,0,11
1934,2022/06/02,7,0,2,0,9
1963,2022/06/02,18,8,11,0,29
1984,2022/06/02,8,6,0,0,8
2135,2022/06/02,10,0,1,0,11
2136,2022/06/02,7,0,0,0,7
2148,2022/06/02,2,0,1,0,3
2183,2022/06/02,8,6,4,0,12
2193,2022/06/02,26,15,15,6,41
2237,2022/06/02,6,0,2,0,8
2358,2022/06/02,18,0,3,0,21
2361,2022/06/02,14,0,5,0,19
2445,2022/06/02,16,0,4,0,20
2449,2022/06/02,10,8,10,0,20
2451,2022/06/02,2,10,1,0,3
2475,2022/06/02,11,0,0,0,11
2476,2022/06/02,6,0,1,0,7
2507,2022/06/02,21,0,14,0,35
2525,2022/06/02,6,0,0,0,6
2562,2022/06/02,30,0,11,0,41
2582,2022/06/02,5,0,0,0,5
2586,2022/06/02,32,20,27,1,59
2631,2022/06/02,6,6,0,0,6
2685,2022/06/02,11,4,6,0,17
2723,2022/06/02,10,0,1,0,11
2730,2022/06/02,8,0,1,0,9
2731,2022/06/02,13,0,1,0,14
2732,2022/06/02,7,0,1,0,8
2734,2022/06/02,9,4,4,0,13
2735,2022/06/02,13,0,1,0,14
2761,2022/06/02,30,20,22,1,52
2788,2022/06/02,20,16,12,1,32
2812,2022/06/02,5,0,0,0,5
2813,2022/06/02,8,0,0,0,8
2814,2022/06/02,5,0,0,0,5
2913,2022/06/02,6,0,0,0,6
2914,2022/06/02,4,0,1,0,5
3015,2022/06/02,7,0,0,0,7
3033,2022/06/02,8,0,0,0,8
3035,2022/06/02,6,0,0,0,6
4446,2022/06/02,19,9,9,8,28
12136,2022/06/02,25,21,20,2,45
12516,2022/06/02,6,0,4,0,10
12518,2022/06/02,11,0,5,0,16
12523,2022/06/02,10,0,3,0,13
16062,2022/06/02,7,0,0,0,7
16063,2022/06/02,11,0,1,0,12
19322,2022/06/02,8,0,0,0,8
19329,2022/06/02,10,0,2,0,12
19516,2022/06/02,6,0,2,0,8
19520,2022/06/02,8,0,0,0,8
75,2022/06/03,11,12,10,0,21
76,2022/06/03,46,32,34,0,80
99,2022/06/03,5,0,0,0,5
117,2022/06/03,6,4,3,0,9
118,2022/06/03,8,0,3,0,11
119,2022/06/03,5,4,2,0,7
120,2022/06/03,3,0,1,0,4
149,2022/06/03,9,0,0,0,9
184,2022/06/03,20,9,15,7,35
195,2022/06/03,40,30,28,0,68
218,2022/06/03,28,30,28,0,56
296,2022/06/03,12,6,4,0,16
300,2022/06/03,10,0,5,1,15
304,2022/06/03,15,6,3,0,18
317,2022/06/03,24,16,11,0,35
343,2022/06/03,8,4,1,0,9
353,2022/06/03,4,0,1,0,5
373,2022/06/03,0,0,0,0,0
374,2022/06/03,11,4,4,0,15
388,2022/06/03,26,24,27,0,53
419,2022/06/03,8,8,8,0,16
420,2022/06/03,12,8,7,0,19
462,2022/06/03,16,8,7,0,23
519,2022/06/03,25,12,12,0,37
525,2022/06/03,6,0,3,0,9
596,2022/06/03,13,4,3,0,16
597,2022/06/03,31,24,17,1,48
598,2022/06/03,8,6,2,0,10
1035,2022/06/03,25,12,7,0,32
1084,2022/06/03,20,10,11,0,31
1111,2022/06/03,12,0,1,0,13
1112,2022/06/03,7,0,0,0,7
1113,2022/06/03,11,0,0,0,11
1114,2022/06/03,10,0,0,0,10
1115,2022/06/03,7,0,1,0,8
1117,2022/06/03,8,0,0,0,8
1118,2022/06/03,10,0,3,0,13
1119,2022/06/03,7,0,1,0,8
1692,2022/06/03,4,0,0,0,4
1693,2022/06/03,23,0,0,0,23
1747,2022/06/03,25,20,24,0,49
1772,2022/06/03,6,0,0,0,6
1773,2022/06/03,10,0,1,0,11
1774,2022/06/03,2,0,0,0,2
1782,2022/06/03,18,15,15,2,33
1795,2022/06/03,36,21,7,0,43
1914,2022/06/03,5,0,0,0,5
1915,2022/06/03,6,0,0,0,6
1923,2022/06/03,11,0,4,0,15
1934,2022/06/03,11,6,2,0,13
1963,2022/06/03,15,8,9,0,24
1984,2022/06/03,14,6,4,0,18
2135,2022/06/03,9,0,1,0,10
2136,2022/06/03,7,0,0,0,7
2148,2022/06/03,5,4,2,0,7
2183,2022/06/03,16,12,5,0,21
2193,2022/06/03,23,18,7,7,30
2237,2022/06/03,4,0,0,0,4
2358,2022/06/03,15,0,3,0,18
2361,2022/06/03,16,7,7,0,23
2445,2022/06/03,18,6,3,5,21
2449,2022/06/03,16,16,11,0,27
2451,2022/06/03,6,5,7,0,13
2475,2022/06/03,11,0,0,0,11
2476,2022/06/03,5,0,4,0,9
2507,2022/06/03,20,12,9,0,29
2525,2022/06/03,6,0,3,0,9
2562,2022/06/03,27,8,14,0,41
2582,2022/06/03,9,4,1,0,10
2586,2022/06/03,20,16,17,0,37
2631,2022/06/03,12,6,2,0,14
2685,2022/06/03,13,8,10,3,23
2723,2022/06/03,9,0,0,0,9
2730,2022/06/03,7,0,2,0,9
2731,2022/06/03,12,0,3,0,15
2732,2022/06/03,6,0,3,0,9
2734,2022/06/03,9,4,2,0,11
2735,2022/06/03,12,0,1,0,13
2761,2022/06/03,22,15,21,0,43
2788,2022/06/03,26,20,24,0,50
2812,2022/06/03,5,0,1,0,6
2813,2022/06/03,8,0,2,0,10
2814,2022/06/03,11,6,1,0,12
2913,2022/06/03,12,6,4,0,16
2914,2022/06/03,3,0,1,0,4
3015,2022/06/03,7,0,3,0,10
3033,2022/06/03,8,0,0,0,8
3035,2022/06/03,6,0,1,0,7
4446,2022/06/03,17,15,8,0,25
12136,2022/06/03,27,24,25,0,52
12516,2022/06/03,6,4,0,0,6
12518,2022/06/03,16,10,4,0,20
12523,2022/06/03,7,0,2,0,9
16062,2022/06/03,7,0,0,0,7
16063,2022/06/03,10,0,4,0,14
19322,2022/06/03,8,0,0,0,8
19329,2022/06/03,8,0,1,0,9
19516,2022/06/03,12,8,5,0,17
19520,2022/06/03,8,0,1,0,9
75,2022/06/04,25,24,22,0,47
76,2022/06/04,40,28,25,0,65
99,2022/06/04,5,0,0,0,5
117,2022/06/04,3,0,2,0,5
118,2022/06/04,9,4,3,0,12
119,2022/06/04,3,0,1,0,4
120,2022/06/04,2,0,1,0,3
149,2022/06/04,9,0,1,0,10
184,2022/06/04,10,12,12,0,22
195,2022/06/04,33,21,23,1,56
218,2022/06/04,18,18,19,0,37
296,2022/06/04,14,6,10,0,24
300,2022/06/04,12,8,5,0,17
304,2022/06/04,12,0,5,0,17
317,2022/06/04,28,16,8,0,36
343,2022/06/04,7,0,1,0,8
353,2022/06/04,3,0,0,0,3
373,2022/06/04,16,16,8,0,24
374,2022/06/04,11,4,1,0,12
388,2022/06/04,-16,9,6,0,-10
419,2022/06/04,16,16,7,0,23
420,2022/06/04,21,16,8,0,29
462,2022/06/04,17,8,4,0,21
519,2022/06/04,19,6,8,0,27
525,2022/06/04,3,0,1,0,4
596,2022/06/04,10,0,3,0,13
597,2022/06/04,13,0,11,0,24
598,2022/06/04,6,0,2,0,8
1035,2022/06/04,18,0,7,0,25
1084,2022/06/04,9,0,7,0,16
1111,2022/06/04,11,0,0,0,11
1112,2022/06/04,7,0,0,0,7
1113,2022/06/04,11,0,0,0,11
1114,2022/06/04,10,0,5,0,15
1115,2022/06/04,6,0,2,0,8
1117,2022/06/04,8,0,0,0,8
1118,2022/06/04,7,0,0,0,7
1119,2022/06/04,6,0,0,0,6
1692,2022/06/04,12,8,5,0,17
1693,2022/06/04,23,0,0,0,23
1747,2022/06/04,21,20,20,0,41
1772,2022/06/04,6,0,0,0,6
1773,2022/06/04,9,0,3,0,12
1774,2022/06/04,2,0,0,0,2
1782,2022/06/04,4,18,17,0,21
1795,2022/06/04,57,28,24,1,81
1914,2022/06/04,5,0,0,0,5
1915,2022/06/04,6,0,0,0,6
1923,2022/06/04,7,0,1,0,8
1934,2022/06/04,9,0,4,2,13
1963,2022/06/04,22,16,16,0,38
1984,2022/06/04,10,0,4,0,14
2135,2022/06/04,8,0,1,0,9
2136,2022/06/04,7,0,0,0,7
2148,2022/06/04,7,4,3,0,10
2183,2022/06/04,17,6,3,0,20
2193,2022/06/04,9,0,5,3,14
2237,2022/06/04,4,0,3,0,7
2358,2022/06/04,12,0,5,0,17
2361,2022/06/04,9,0,3,0,12
2445,2022/06/04,16,6,6,0,22
2449,2022/06/04,21,16,6,0,27
2451,2022/06/04,4,5,4,0,8
2475,2022/06/04,11,0,1,0,12
2476,2022/06/04,1,0,0,0,1
2507,2022/06/04,10,0,8,0,18
2525,2022/06/04,3,0,1,0,4
2562,2022/06/04,21,8,4,0,25
2582,2022/06/04,12,4,2,0,14
2586,2022/06/04,11,8,8,0,19
2631,2022/06/04,16,6,1,0,17
2685,2022/06/04,0,0,2,0,2
2723,2022/06/04,9,0,0,0,9
2730,2022/06/04,5,0,2,0,7
2731,2022/06/04,9,0,2,0,11
2732,2022/06/04,3,0,1,0,4
2734,2022/06/04,7,0,2,0,9
2735,2022/06/04,11,0,3,0,14
2761,2022/06/04,11,10,12,0,23
2788,2022/06/04,13,12,14,1,27
2812,2022/06/04,4,0,0,0,4
2813,2022/06/04,6,0,0,0,6
2814,2022/06/04,10,0,0,0,10
2913,2022/06/04,8,0,2,0,10
2914,2022/06/04,2,0,0,0,2
3015,2022/06/04,4,0,1,0,5
3033,2022/06/04,8,0,0,0,8
3035,2022/06/04,5,0,0,0,5
